Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,product.metafields.custom.material,product.metafields.custom.fit,product.metafields.custom.length,product.metafields.custom.model_height,product.metafields.custom.model_size,product.metafields.custom.fabric,product.metafields.custom.care,product.metafields.custom.season,product.metafields.custom.style,product.metafields.custom.occasion
minimal-kemer-detayli-krep-tesettur-elbise,Minimal Kemer Detaylı Krep Tesettür Elbise,"<p>İnce kemer çizgisi beli belirsiz toplar; krep düşüşü gün içinde sakin kalır.</p><h3>Ürün özellikleri</h3><ul><li>Rahat kalıp</li><li>Krep kumaş</li><li>İnce kemer detayı</li><li>Uzun kollu</li><li>Yan dikiş cepli</li></ul><p><strong>Kalıp:</strong> Rahat</p><p><strong>Kumaş:</strong> Krep</p><p><strong>Kullanım:</strong> Günlük</p><p><strong>Kombin önerisi:</strong> Aynı tonda bir krep şal ve düz bir düz taban yeter.</p><p><strong>Bakım:</strong> 30 derecede ters yıkayın. Ağartmayın. Düşük ısıda ütüleyin.</p><p><em>Demo Modest kataloğu için hazırlanmış DEMO üründür. Gerçek stok, gerçek marka veya gerçek satış verisi değildir.</em></p>",Demo Modest,Apparel & Accessories > Clothing > Dresses,Tesettür Elbise,"tesettur, elbise, kadin, minimal, gunluk, krep, rahat-kalip, yeni-sezon, bahar, yaz",TRUE,Renk,Siyah,Beden,36,ELB-001-SIY-36,480,shopify,0,deny,manual,1499.00,,TRUE,TRUE,,,Vizon kemer detaylı krep tesettür elbise,FALSE,Minimal Kemer Detaylı Krep Tesettür Elbise | Demo Modest,"Kemer çizgili krep tesettür elbiseyi günlük tempoya uygun, rahat kalıbıyla inceleyin. Demo Modest katalog kaydı. DEMO katalog kaydıdır; gerçek stok veya marka",active,%97 Polyester %3 Elastan,Rahat,138 cm,175 cm,38,Krep,30 derecede ters yıkayın. Ağartmayın. Düşük ısıda ütüleyin.,İlkbahar / Yaz,Minimal,Günlük
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Siyah,Beden,38,ELB-001-SIY-38,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Siyah,Beden,40,ELB-001-SIY-40,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Siyah,Beden,42,ELB-001-SIY-42,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Siyah,Beden,44,ELB-001-SIY-44,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Vizon,Beden,36,ELB-001-VIZ-36,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Vizon,Beden,38,ELB-001-VIZ-38,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Vizon,Beden,40,ELB-001-VIZ-40,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Vizon,Beden,42,ELB-001-VIZ-42,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Vizon,Beden,44,ELB-001-VIZ-44,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Ekru,Beden,36,ELB-001-EKR-36,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Ekru,Beden,38,ELB-001-EKR-38,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Ekru,Beden,40,ELB-001-EKR-40,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Ekru,Beden,42,ELB-001-EKR-42,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
minimal-kemer-detayli-krep-tesettur-elbise,,,,,,,,Renk,Ekru,Beden,44,ELB-001-EKR-44,480,shopify,12,deny,manual,1499.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,Relax Fit Aerobin Tesettür Elbise,"<p>Aerobin akışkan durur; relax kesim yürüyüş ve oturuşta kumaşı sıkıştırmaz.</p><h3>Ürün özellikleri</h3><ul><li>Relax fit</li><li>Aerobin kumaş</li><li>Yuvarlak yaka</li><li>Midi boy</li><li>Gizli cep</li></ul><p><strong>Kalıp:</strong> Relax Fit</p><p><strong>Kumaş:</strong> Aerobin</p><p><strong>Kullanım:</strong> Günlük</p><p><strong>Kombin önerisi:</strong> Taş tonlarında ince bir eşarp ve düz sandalet ile tamamlanır.</p><p><strong>Bakım:</strong> 30 derecede yıkayın. Askıda kurutun.</p><p><em>Demo Modest kataloğu için hazırlanmış DEMO üründür. Gerçek stok, gerçek marka veya gerçek satış verisi değildir.</em></p>",Demo Modest,Apparel & Accessories > Clothing > Dresses,Tesettür Elbise,"tesettur, elbise, kadin, aerobin, relax-fit, gunluk, cok-satan, yaz",TRUE,Renk,Bej,Beden,36,ELB-002-BEJ-36,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,Bej relax fit aerobin tesettür elbise,FALSE,Relax Fit Aerobin Tesettür Elbise | Demo Modest Katalog,Hafif aerobin kumaşlı relax tesettür elbiseyi yazlık kombinler için inceleyin. Demo Modest DEMO kaydı. Tema testi için hazırlanmıştır; satış verisi içermez.,active,%100 Polyester,Relax Fit,128 cm,173 cm,36,Aerobin,30 derecede yıkayın. Askıda kurutun.,İlkbahar / Yaz,Salaş,Günlük
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Bej,Beden,38,ELB-002-BEJ-38,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Bej,Beden,40,ELB-002-BEJ-40,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Bej,Beden,42,ELB-002-BEJ-42,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Bej,Beden,44,ELB-002-BEJ-44,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Bej,Beden,46,ELB-002-BEJ-46,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
relax-fit-aerobin-tesettur-elbise,,,,,,,,Renk,Taş,Beden,36,ELB-002-TAS-36,420,shopify,18,deny,manual,1699.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,
